Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,Haven,MIBR,4,4,0,,G2 Esports,13,5,8,,40:55
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,Corrode,MIBR,7,3,4,,G2 Esports,13,4,9,,43:49
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Bind,MIBR,13,6,7,,Mega Minors,9,3,6,,1:03:44
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Corrode,MIBR,13,8,5,,Mega Minors,5,1,4,,40:25
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Split,MIBR,10,9,1,,Mega Minors,13,10,3,,52:45
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Abyss,MIBR,4,3,1,,Mega Minors,13,4,9,,31:57
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Haven,MIBR,5,1,4,,Mega Minors,13,2,11,,43:01
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Split,Natus Vincere,13,7,6,,Karmine Corp,11,6,5,,1:01:27
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Haven,Natus Vincere,13,10,3,,Karmine Corp,7,5,2,,45:01
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,Abyss,FUT Esports,8,5,3,,Gentle Mates,13,6,7,,45:40
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,Split,FUT Esports,6,4,2,,Gentle Mates,13,5,8,,39:09
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,Breeze,PCIFIC Esports,10,3,7,,BBL Esports,13,4,9,,55:42
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,Abyss,PCIFIC Esports,13,7,6,,BBL Esports,7,2,5,,46:52
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,Pearl,PCIFIC Esports,4,2,2,,BBL Esports,13,3,10,,40:09
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,Breeze,ULF Esports,3,2,1,,Team Vitality,13,3,10,,32:38
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,Corrode,ULF Esports,1,1,0,,Team Vitality,13,2,11,,27:22
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Heretics vs Natus Vincere,Bind,Team Heretics,10,4,6,,Natus Vincere,13,5,8,,56:24
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Heretics vs Natus Vincere,Haven,Team Heretics,13,9,4,,Natus Vincere,11,8,3,,58:18
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Heretics vs Natus Vincere,Split,Team Heretics,6,3,3,,Natus Vincere,13,4,9,,44:02
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,GIANTX vs Gentle Mates,Pearl,GIANTX,10,5,5,,Gentle Mates,13,6,7,,51:33
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,GIANTX vs Gentle Mates,Bind,GIANTX,10,10,0,,Gentle Mates,13,11,2,,51:52
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,FNATIC vs BBL Esports,Breeze,FNATIC,11,9,2,,BBL Esports,13,10,3,,54:38
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,FNATIC vs BBL Esports,Haven,FNATIC,4,4,0,,BBL Esports,13,5,8,,48:13
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Liquid vs Team Vitality,Breeze,Team Liquid,11,6,5,,Team Vitality,13,7,6,,55:30
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Liquid vs Team Vitality,Pearl,Team Liquid,14,8,4,2,Team Vitality,12,8,4,0,1:00:46
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Liquid vs Team Vitality,Corrode,Team Liquid,9,4,5,,Team Vitality,13,5,8,,54:15
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,Karmine Corp vs Team Liquid,Abyss,Karmine Corp,13,11,2,,Team Liquid,2,1,1,,35:55
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,Karmine Corp vs Team Liquid,Split,Karmine Corp,8,5,3,,Team Liquid,13,6,7,,48:16
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,Karmine Corp vs Team Liquid,Breeze,Karmine Corp,10,8,2,,Team Liquid,13,9,4,,59:08
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,FUT Esports vs FNATIC,Abyss,FUT Esports,3,2,1,,FNATIC,13,3,10,,39:06
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,FUT Esports vs FNATIC,Corrode,FUT Esports,18,2,10,6,FNATIC,16,2,10,4,1:14:36
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,FUT Esports vs FNATIC,Split,FUT Esports,14,5,7,2,FNATIC,16,5,7,4,1:11:00
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,PCIFIC Esports vs GIANTX,Abyss,PCIFIC Esports,8,3,5,,GIANTX,13,4,9,,47:21
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,PCIFIC Esports vs GIANTX,Bind,PCIFIC Esports,14,7,5,2,GIANTX,12,7,5,0,59:21
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,PCIFIC Esports vs GIANTX,Split,PCIFIC Esports,10,6,4,,GIANTX,13,7,6,,54:03
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,ULF Esports vs Team Heretics,Haven,ULF Esports,7,3,4,,Team Heretics,13,4,9,,45:40
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,ULF Esports vs Team Heretics,Bind,ULF Esports,8,6,2,,Team Heretics,13,7,6,,49:03
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,Natus Vincere vs Gentle Mates,Abyss,Natus Vincere,7,5,2,,Gentle Mates,13,6,7,,41:17
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,Natus Vincere vs Gentle Mates,Bind,Natus Vincere,9,4,5,,Gentle Mates,13,5,8,,50:46
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,BBL Esports vs Team Vitality,Haven,BBL Esports,13,6,7,,Team Vitality,9,3,6,,52:10
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,BBL Esports vs Team Vitality,Abyss,BBL Esports,13,8,5,,Team Vitality,8,4,4,,52:12
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,Team Liquid vs FNATIC,Corrode,Team Liquid,5,5,0,,FNATIC,13,6,7,,38:55
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,Team Liquid vs FNATIC,Split,Team Liquid,9,3,6,,FNATIC,13,4,9,,54:05
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,GIANTX vs Team Heretics,Abyss,GIANTX,13,6,7,,Team Heretics,10,4,6,,51:54
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,GIANTX vs Team Heretics,Haven,GIANTX,13,7,6,,Team Heretics,7,2,5,,46:25
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs FUT Esports,Haven,Karmine Corp,14,7,5,2,FUT Esports,12,7,5,0,59:26
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs FUT Esports,Split,Karmine Corp,8,5,3,,FUT Esports,13,6,7,,54:42
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs FUT Esports,Pearl,Karmine Corp,13,7,6,,FUT Esports,7,2,5,,45:13
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Split,PCIFIC Esports,5,3,2,,ULF Esports,13,4,9,,59:56
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,Abyss,PCIFIC Esports,8,3,5,,ULF Esports,13,4,9,,41:15
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Split,Natus Vincere,10,3,7,,FNATIC,13,4,9,,57:26
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Breeze,Natus Vincere,13,8,5,,FNATIC,6,2,4,,43:55
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Bind,Natus Vincere,15,3,9,3,FNATIC,17,3,9,5,1:17:01
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Team Vitality vs GIANTX,Abyss,Team Vitality,13,12,1,,GIANTX,0,0,0,,32:20
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Team Vitality vs GIANTX,Breeze,Team Vitality,13,7,6,,GIANTX,11,6,5,,51:49
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Heretics vs Karmine Corp,Haven,Team Heretics,13,6,7,,Karmine Corp,8,2,6,,47:33
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Heretics vs Karmine Corp,Corrode,Team Heretics,13,6,7,,Karmine Corp,11,5,6,,56:30
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Heretics vs Karmine Corp,Abyss,Team Heretics,2,2,0,,Karmine Corp,13,3,10,,32:38
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Liquid vs ULF Esports,Split,Team Liquid,8,6,2,,ULF Esports,13,7,6,,49:17
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Liquid vs ULF Esports,Pearl,Team Liquid,14,6,6,2,ULF Esports,12,6,6,0,1:00:06
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Liquid vs ULF Esports,Breeze,Team Liquid,13,7,6,,ULF Esports,5,0,5,,35:57
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,Natus Vincere vs Team Heretics,Haven,Natus Vincere,5,4,1,,Team Heretics,13,5,8,,39:58
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,Natus Vincere vs Team Heretics,Breeze,Natus Vincere,4,4,0,,Team Heretics,13,5,8,,42:31
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,GIANTX vs Team Liquid,Breeze,GIANTX,4,3,1,,Team Liquid,13,4,9,,34:07
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,GIANTX vs Team Liquid,Pearl,GIANTX,13,11,2,,Team Liquid,6,5,1,,40:45
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,GIANTX vs Team Liquid,Bind,GIANTX,14,4,8,2,Team Liquid,16,4,8,4,1:08:07
VCT 2026: EMEA Kickoff,Main Event,Lower Round 4,Team Heretics vs Team Liquid,Abyss,Team Heretics,11,6,5,,Team Liquid,13,7,6,,55:25
VCT 2026: EMEA Kickoff,Main Event,Lower Round 4,Team Heretics vs Team Liquid,Bind,Team Heretics,3,1,2,,Team Liquid,13,2,11,,32:54
VCT 2026: EMEA Kickoff,Main Event,Middle Round 4,FNATIC vs Team Vitality,Abyss,FNATIC,13,9,4,,Team Vitality,5,2,3,,41:08
VCT 2026: EMEA Kickoff,Main Event,Middle Round 4,FNATIC vs Team Vitality,Bind,FNATIC,13,6,7,,Team Vitality,8,2,6,,46:54
VCT 2026: EMEA Kickoff,Main Event,Upper Final,Gentle Mates vs BBL Esports,Haven,Gentle Mates,13,6,7,,BBL Esports,11,5,6,,54:02
VCT 2026: EMEA Kickoff,Main Event,Upper Final,Gentle Mates vs BBL Esports,Abyss,Gentle Mates,13,7,5,1,BBL Esports,15,7,5,3,1:08:11
VCT 2026: EMEA Kickoff,Main Event,Upper Final,Gentle Mates vs BBL Esports,Pearl,Gentle Mates,14,6,6,2,BBL Esports,16,6,6,4,1:12:08
VCT 2026: EMEA Kickoff,Main Event,Upper Final,Gentle Mates vs BBL Esports,Split,Gentle Mates,13,9,4,,BBL Esports,4,1,3,,37:46
VCT 2026: EMEA Kickoff,Main Event,Upper Final,Gentle Mates vs BBL Esports,Corrode,Gentle Mates,6,5,1,,BBL Esports,13,6,7,,42:09
VCT 2026: EMEA Kickoff,Main Event,Lower Round 5,Team Vitality vs Team Liquid,Corrode,Team Vitality,13,10,3,,Team Liquid,8,6,2,,50:06
VCT 2026: EMEA Kickoff,Main Event,Lower Round 5,Team Vitality vs Team Liquid,Bind,Team Vitality,3,3,0,,Team Liquid,13,4,9,,34:44
VCT 2026: EMEA Kickoff,Main Event,Lower Round 5,Team Vitality vs Team Liquid,Breeze,Team Vitality,9,3,6,,Team Liquid,13,4,9,,47:33
VCT 2026: EMEA Kickoff,Main Event,Middle Final,Gentle Mates vs FNATIC,Abyss,Gentle Mates,10,6,4,,FNATIC,13,7,6,,53:05
VCT 2026: EMEA Kickoff,Main Event,Middle Final,Gentle Mates vs FNATIC,Corrode,Gentle Mates,14,8,4,2,FNATIC,16,8,4,4,1:11:24
VCT 2026: EMEA Kickoff,Main Event,Middle Final,Gentle Mates vs FNATIC,Split,Gentle Mates,13,8,5,,FNATIC,6,2,4,,44:28
VCT 2026: EMEA Kickoff,Main Event,Middle Final,Gentle Mates vs FNATIC,Bind,Gentle Mates,14,7,5,2,FNATIC,12,7,5,0,1:03:26
VCT 2026: EMEA Kickoff,Main Event,Middle Final,Gentle Mates vs FNATIC,Haven,Gentle Mates,14,7,5,2,FNATIC,12,7,5,0,59:23
VCT 2026: EMEA Kickoff,Main Event,Lower Final,FNATIC vs Team Liquid,Corrode,FNATIC,6,5,1,,Team Liquid,13,6,7,,39:12
VCT 2026: EMEA Kickoff,Main Event,Lower Final,FNATIC vs Team Liquid,Bind,FNATIC,10,7,3,,Team Liquid,13,8,5,,46:28
VCT 2026: EMEA Kickoff,Main Event,Lower Final,FNATIC vs Team Liquid,Abyss,FNATIC,16,7,5,4,Team Liquid,18,7,5,6,1:11:49
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,Nongshim RedForce vs Team Secret,Haven,Nongshim RedForce,13,9,4,,Team Secret,5,2,3,,59:33
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,Nongshim RedForce vs Team Secret,Split,Nongshim RedForce,13,5,8,,Team Secret,8,1,7,,46:20
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs FULL SENSE,Corrode,ZETA DIVISION,4,4,0,,FULL SENSE,13,5,8,,43:07
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs FULL SENSE,Split,ZETA DIVISION,2,2,0,,FULL SENSE,13,3,10,,28:44
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,VARREL vs Global Esports,Abyss,VARREL,7,5,2,,Global Esports,13,6,7,,44:01
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,VARREL vs Global Esports,Split,VARREL,7,4,3,,Global Esports,13,5,8,,1:04:03
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Gen.G,Abyss,DetonatioN FocusMe,13,7,6,,Gen.G,8,3,5,,54:48
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Gen.G,Pearl,DetonatioN FocusMe,13,5,8,,Gen.G,10,3,7,,56:07
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,T1 vs Nongshim RedForce,Haven,T1,4,4,0,,Nongshim RedForce,13,5,8,,34:13
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,T1 vs Nongshim RedForce,Corrode,T1,9,4,5,,Nongshim RedForce,13,5,8,,46:57
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,T1 vs Nongshim RedForce,Split,T1,13,6,7,,Nongshim RedForce,9,3,6,,1:05:50
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,DRX vs FULL SENSE,Breeze,DRX,13,8,5,,FULL SENSE,10,6,4,,1:00:26
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,DRX vs FULL SENSE,Pearl,DRX,8,4,4,,FULL SENSE,13,5,8,,46:43
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,DRX vs FULL SENSE,Split,DRX,8,5,3,,FULL SENSE,13,6,7,,49:18
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,Paper Rex vs Global Esports,Breeze,Paper Rex,13,7,6,,Global Esports,10,5,5,,1:12:19
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,Paper Rex vs Global Esports,Split,Paper Rex,5,5,0,,Global Esports,13,6,7,,37:40
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,Paper Rex vs Global Esports,Bind,Paper Rex,13,7,6,,Global Esports,10,5,5,,50:34
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,Rex Regum Qeon vs DetonatioN FocusMe,Haven,Rex Regum Qeon,13,4,9,,DetonatioN FocusMe,10,2,8,,58:54
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,Rex Regum Qeon vs DetonatioN FocusMe,Corrode,Rex Regum Qeon,13,10,3,,DetonatioN FocusMe,5,3,2,,42:41
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Team Secret vs DetonatioN FocusMe,Split,Team Secret,2,2,0,,DetonatioN FocusMe,13,3,10,,54:39
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Team Secret vs DetonatioN FocusMe,Bind,Team Secret,8,5,3,,DetonatioN FocusMe,13,6,7,,44:48
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,ZETA DIVISION vs Global Esports,Haven,ZETA DIVISION,11,3,8,,Global Esports,13,4,9,,58:12
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,ZETA DIVISION vs Global Esports,Abyss,ZETA DIVISION,9,4,5,,Global Esports,13,5,8,,43:56
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,VARREL vs DRX,Corrode,VARREL,13,5,8,,DRX,10,3,7,,1:15:51
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,VARREL vs DRX,Split,VARREL,10,4,6,,DRX,13,5,8,,55:58
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,VARREL vs DRX,Bind,VARREL,5,3,2,,DRX,13,4,9,,42:17
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Gen.G vs T1,Breeze,Gen.G,13,7,6,,T1,7,2,5,,53:32
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Gen.G vs T1,Bind,Gen.G,8,5,3,,T1,13,6,7,,51:37
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Gen.G vs T1,Haven,Gen.G,9,6,3,,T1,13,7,6,,49:15
VCT 2026: Pacific Kickoff,Main Event,Upper Round 3,Nongshim RedForce vs FULL SENSE,Split,Nongshim RedForce,14,6,6,2,FULL SENSE,12,6,6,0,1:17:22
VCT 2026: Pacific Kickoff,Main Event,Upper Round 3,Nongshim RedForce vs FULL SENSE,Bind,Nongshim RedForce,13,10,3,,FULL SENSE,2,0,2,,31:56
VCT 2026: Pacific Kickoff,Main Event,Upper Round 3,Paper Rex vs Rex Regum Qeon,Bind,Paper Rex,6,5,1,,Rex Regum Qeon,13,6,7,,48:03
VCT 2026: Pacific Kickoff,Main Event,Upper Round 3,Paper Rex vs Rex Regum Qeon,Pearl,Paper Rex,5,2,3,,Rex Regum Qeon,13,3,10,,41:58
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,DetonatioN FocusMe vs Global Esports,Breeze,DetonatioN FocusMe,3,2,1,,Global Esports,13,3,10,,51:57
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,DetonatioN FocusMe vs Global Esports,Pearl,DetonatioN FocusMe,13,7,6,,Global Esports,9,4,5,,49:34
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,DetonatioN FocusMe vs Global Esports,Split,DetonatioN FocusMe,13,7,6,,Global Esports,8,3,5,,50:04
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,DRX vs T1,Split,DRX,8,5,3,,T1,13,6,7,,59:30
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,DRX vs T1,Bind,DRX,8,4,4,,T1,13,5,8,,50:16
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,Team Secret vs ZETA DIVISION,Bind,Team Secret,13,8,5,,ZETA DIVISION,4,0,4,,44:25
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,Team Secret vs ZETA DIVISION,Split,Team Secret,4,1,3,,ZETA DIVISION,13,2,11,,37:51
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,Team Secret vs ZETA DIVISION,Abyss,Team Secret,11,7,4,,ZETA DIVISION,13,8,5,,50:12
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,VARREL vs Gen.G,Breeze,VARREL,10,4,6,,Gen.G,13,5,8,,59:47
