Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Gentle Mates,EDward Gaming,2,0,Gentle Mates won
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Xi Lai Gaming,Mega Minors,0,2,NRG won
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,G2 Esports,Paper Rex,0,2,Paper Rex won
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,T1,Team Liquid,0,2,Team Liquid won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Paper Rex,Mega Minors,2,1,Paper Rex won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Gentle Mates vs Team Liquid,Gentle Mates,Team Liquid,2,0,Gentle Mates won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),EDward Gaming vs T1,EDward Gaming,T1,0,2,T1 won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Xi Lai Gaming vs G2 Esports,Xi Lai Gaming,G2 Esports,0,2,G2 Esports won
Valorant Masters Santiago 2026,Swiss Stage,Round 3,NRG vs Team Liquid,Mega Minors,Team Liquid,2,0,NRG won
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,G2 Esports,T1,2,0,G2 Esports won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,FURIA,Paper Rex,1,2,Paper Rex won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Nongshim RedForce,Gentle Mates,2,0,Nongshim RedForce won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,BBL Esports,Mega Minors,1,2,NRG won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,All Gamers,G2 Esports,0,2,G2 Esports won
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,FURIA,BBL Esports,1,2,BBL Esports won
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,Gentle Mates,All Gamers,1,2,All Gamers won
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,Nongshim RedForce,G2 Esports,2,1,Nongshim RedForce won
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Paper Rex,Mega Minors,0,2,NRG won
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,G2 Esports,BBL Esports,2,0,G2 Esports won
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Paper Rex,All Gamers,2,1,Paper Rex won
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Nongshim RedForce,Mega Minors,2,0,Nongshim RedForce won
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Paper Rex,G2 Esports,2,1,Paper Rex won
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Mega Minors,Paper Rex,1,3,Paper Rex won
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Nongshim RedForce,Paper Rex,3,0,Nongshim RedForce won
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,ENVY,Evil Geniuses,2,1,ENVY won
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,LOUD,Cloud9,0,2,Cloud9 won
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,KRÜ Esports,FURIA,1,2,FURIA won
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,100 Thieves,LEVIATÁN,2,1,100 Thieves won
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,Mega Minors,Cloud9,2,0,NRG won
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,MIBR,ENVY,2,0,MIBR won
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Sentinels,FURIA,0,2,FURIA won
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,G2 Esports,100 Thieves,2,1,G2 Esports won
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,LOUD,100 Thieves,1,2,100 Thieves won
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Evil Geniuses,Sentinels,0,2,Sentinels won
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,KRÜ Esports,ENVY,1,2,ENVY won
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,LEVIATÁN,Cloud9,0,2,Cloud9 won
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,100 Thieves,Sentinels,2,0,100 Thieves won
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,ENVY,Cloud9,1,2,Cloud9 won
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,Mega Minors,MIBR,1,2,MIBR won
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,FURIA,G2 Esports,2,1,FURIA won
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,LOUD,Evil Geniuses,0,2,Evil Geniuses won
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,KRÜ Esports,LEVIATÁN,0,2,LEVIATÁN won
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,Mega Minors,100 Thieves,2,0,NRG won
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,G2 Esports,Cloud9,2,0,G2 Esports won
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,ENVY,Evil Geniuses,0,2,Evil Geniuses won
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,Sentinels,LEVIATÁN,0,2,LEVIATÁN won
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,100 Thieves,Evil Geniuses,2,0,100 Thieves won
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,Cloud9,LEVIATÁN,2,0,Cloud9 won
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,Mega Minors,G2 Esports,0,2,G2 Esports won
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,100 Thieves,Cloud9,2,1,100 Thieves won
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,MIBR,FURIA,2,3,FURIA won
VCT 2026: Americas Kickoff,Main Event,Lower Round 5,NRG vs 100 Thieves,Mega Minors,100 Thieves,2,0,NRG won
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,MIBR,G2 Esports,0,3,G2 Esports won
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,MIBR,Mega Minors,2,3,NRG won
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Natus Vincere,Karmine Corp,2,0,Natus Vincere won
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,FUT Esports,Gentle Mates,0,2,Gentle Mates won
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,PCIFIC Esports,BBL Esports,1,2,BBL Esports won
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,ULF Esports,Team Vitality,0,2,Team Vitality won
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Heretics vs Natus Vincere,Team Heretics,Natus Vincere,1,2,Natus Vincere won
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,GIANTX vs Gentle Mates,GIANTX,Gentle Mates,0,2,Gentle Mates won
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,FNATIC vs BBL Esports,FNATIC,BBL Esports,0,2,BBL Esports won
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Liquid vs Team Vitality,Team Liquid,Team Vitality,1,2,Team Vitality won
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,Karmine Corp vs Team Liquid,Karmine Corp,Team Liquid,1,2,Team Liquid won
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,FUT Esports vs FNATIC,FUT Esports,FNATIC,1,2,FNATIC won
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,PCIFIC Esports vs GIANTX,PCIFIC Esports,GIANTX,1,2,GIANTX won
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,ULF Esports vs Team Heretics,ULF Esports,Team Heretics,0,2,Team Heretics won
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,Natus Vincere vs Gentle Mates,Natus Vincere,Gentle Mates,0,2,Gentle Mates won
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,BBL Esports vs Team Vitality,BBL Esports,Team Vitality,2,0,BBL Esports won
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,Team Liquid vs FNATIC,Team Liquid,FNATIC,0,2,FNATIC won
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,GIANTX vs Team Heretics,GIANTX,Team Heretics,2,0,GIANTX won
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs FUT Esports,Karmine Corp,FUT Esports,2,1,Karmine Corp won
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,PCIFIC Esports,ULF Esports,0,2,ULF Esports won
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Natus Vincere,FNATIC,1,2,FNATIC won
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Team Vitality vs GIANTX,Team Vitality,GIANTX,2,0,Team Vitality won
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Heretics vs Karmine Corp,Team Heretics,Karmine Corp,2,1,Team Heretics won
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Liquid vs ULF Esports,Team Liquid,ULF Esports,2,1,Team Liquid won
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,Natus Vincere vs Team Heretics,Natus Vincere,Team Heretics,0,2,Team Heretics won
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,GIANTX vs Team Liquid,GIANTX,Team Liquid,1,2,Team Liquid won
VCT 2026: EMEA Kickoff,Main Event,Lower Round 4,Team Heretics vs Team Liquid,Team Heretics,Team Liquid,0,2,Team Liquid won
VCT 2026: EMEA Kickoff,Main Event,Middle Round 4,FNATIC vs Team Vitality,FNATIC,Team Vitality,2,0,FNATIC won
VCT 2026: EMEA Kickoff,Main Event,Upper Final,Gentle Mates vs BBL Esports,Gentle Mates,BBL Esports,2,3,BBL Esports won
VCT 2026: EMEA Kickoff,Main Event,Lower Round 5,Team Vitality vs Team Liquid,Team Vitality,Team Liquid,1,2,Team Liquid won
VCT 2026: EMEA Kickoff,Main Event,Middle Final,Gentle Mates vs FNATIC,Gentle Mates,FNATIC,3,2,Gentle Mates won
VCT 2026: EMEA Kickoff,Main Event,Lower Final,FNATIC vs Team Liquid,FNATIC,Team Liquid,0,3,Team Liquid won
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,Nongshim RedForce vs Team Secret,Nongshim RedForce,Team Secret,2,0,Nongshim RedForce won
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs FULL SENSE,ZETA DIVISION,FULL SENSE,0,2,FULL SENSE won
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,VARREL vs Global Esports,VARREL,Global Esports,0,2,Global Esports won
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Gen.G,DetonatioN FocusMe,Gen.G,2,0,DetonatioN FocusMe won
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,T1 vs Nongshim RedForce,T1,Nongshim RedForce,1,2,Nongshim RedForce won
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,DRX vs FULL SENSE,DRX,FULL SENSE,1,2,FULL SENSE won
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,Paper Rex vs Global Esports,Paper Rex,Global Esports,2,1,Paper Rex won
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,Rex Regum Qeon vs DetonatioN FocusMe,Rex Regum Qeon,DetonatioN FocusMe,2,0,Rex Regum Qeon won
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Team Secret vs DetonatioN FocusMe,Team Secret,DetonatioN FocusMe,0,2,DetonatioN FocusMe won
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,ZETA DIVISION vs Global Esports,ZETA DIVISION,Global Esports,0,2,Global Esports won
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,VARREL vs DRX,VARREL,DRX,1,2,DRX won
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Gen.G vs T1,Gen.G,T1,1,2,T1 won
VCT 2026: Pacific Kickoff,Main Event,Upper Round 3,Nongshim RedForce vs FULL SENSE,Nongshim RedForce,FULL SENSE,2,0,Nongshim RedForce won
VCT 2026: Pacific Kickoff,Main Event,Upper Round 3,Paper Rex vs Rex Regum Qeon,Paper Rex,Rex Regum Qeon,0,2,Rex Regum Qeon won
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,DetonatioN FocusMe vs Global Esports,DetonatioN FocusMe,Global Esports,2,1,DetonatioN FocusMe won
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,DRX vs T1,DRX,T1,0,2,T1 won
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,Team Secret vs ZETA DIVISION,Team Secret,ZETA DIVISION,1,2,ZETA DIVISION won
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,VARREL vs Gen.G,VARREL,Gen.G,1,2,Gen.G won
VCT 2026: Pacific Kickoff,Main Event,Middle Round 3,FULL SENSE vs DetonatioN FocusMe,FULL SENSE,DetonatioN FocusMe,1,2,DetonatioN FocusMe won
VCT 2026: Pacific Kickoff,Main Event,Middle Round 3,Paper Rex vs T1,Paper Rex,T1,1,2,T1 won
VCT 2026: Pacific Kickoff,Main Event,Lower Round 2,DRX vs ZETA DIVISION,DRX,ZETA DIVISION,2,1,DRX won
VCT 2026: Pacific Kickoff,Main Event,Lower Round 2,Global Esports vs Gen.G,Global Esports,Gen.G,2,1,Global Esports won
VCT 2026: Pacific Kickoff,Main Event,Lower Round 3,FULL SENSE vs DRX,FULL SENSE,DRX,0,2,DRX won
VCT 2026: Pacific Kickoff,Main Event,Lower Round 3,Paper Rex vs Global Esports,Paper Rex,Global Esports,2,1,Paper Rex won
VCT 2026: Pacific Kickoff,Main Event,Lower Round 4,DRX vs Paper Rex,DRX,Paper Rex,1,2,Paper Rex won
VCT 2026: Pacific Kickoff,Main Event,Middle Round 4,DetonatioN FocusMe vs T1,DetonatioN FocusMe,T1,0,2,T1 won
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Nongshim RedForce vs Rex Regum Qeon,Nongshim RedForce,Rex Regum Qeon,3,2,Nongshim RedForce won
VCT 2026: Pacific Kickoff,Main Event,Lower Round 5,DetonatioN FocusMe vs Paper Rex,DetonatioN FocusMe,Paper Rex,0,2,Paper Rex won
VCT 2026: Pacific Kickoff,Main Event,Middle Final,Rex Regum Qeon vs T1,Rex Regum Qeon,T1,0,3,T1 won
VCT 2026: Pacific Kickoff,Main Event,Lower Final,Rex Regum Qeon vs Paper Rex,Rex Regum Qeon,Paper Rex,1,3,Paper Rex won
VCT 2026: China Kickoff,Main Event,Upper Round 1,Trace Esports vs Wolves Esports,Trace Esports,Wolves Esports,1,2,Wolves Esports won
VCT 2026: China Kickoff,Main Event,Upper Round 1,FunPlus Phoenix vs TYLOO,FunPlus Phoenix,TYLOO,0,2,TYLOO won
VCT 2026: China Kickoff,Main Event,Upper Round 1,All Gamers vs Nova Esports,All Gamers,Nova Esports,2,0,All Gamers won
VCT 2026: China Kickoff,Main Event,Upper Round 1,JDG Esports vs Titan Esports Club,JDG Esports,Titan Esports Club,2,1,JDG Esports won
VCT 2026: China Kickoff,Main Event,Upper Round 2,Xi Lai Gaming vs Wolves Esports,Xi Lai Gaming,Wolves Esports,2,0,Xi Lai Gaming won
VCT 2026: China Kickoff,Main Event,Upper Round 2,EDward Gaming vs TYLOO,EDward Gaming,TYLOO,2,0,EDward Gaming won
VCT 2026: China Kickoff,Main Event,Upper Round 2,Bilibili Gaming vs All Gamers,Bilibili Gaming,All Gamers,0,2,All Gamers won
VCT 2026: China Kickoff,Main Event,Upper Round 2,Dragon Ranger Gaming vs JDG Esports,Dragon Ranger Gaming,JDG Esports,2,1,Dragon Ranger Gaming won
VCT 2026: China Kickoff,Main Event,Middle Round 1,Nova Esports vs TYLOO,Nova Esports,TYLOO,0,2,TYLOO won
VCT 2026: China Kickoff,Main Event,Middle Round 1,Titan Esports Club vs Wolves Esports,Titan Esports Club,Wolves Esports,2,1,Titan Esports Club won
VCT 2026: China Kickoff,Main Event,Middle Round 1,Trace Esports vs JDG Esports,Trace Esports,JDG Esports,2,1,Trace Esports won
VCT 2026: China Kickoff,Main Event,Middle Round 1,FunPlus Phoenix vs Bilibili Gaming,FunPlus Phoenix,Bilibili Gaming,0,2,Bilibili Gaming won
VCT 2026: China Kickoff,Main Event,Middle Round 2,TYLOO vs Titan Esports Club,TYLOO,Titan Esports Club,2,1,TYLOO won
VCT 2026: China Kickoff,Main Event,Middle Round 2,Trace Esports vs Bilibili Gaming,Trace Esports,Bilibili Gaming,0,2,Bilibili Gaming won
VCT 2026: China Kickoff,Main Event,Lower Round 1,Nova Esports vs Wolves Esports,Nova Esports,Wolves Esports,1,2,Wolves Esports won
VCT 2026: China Kickoff,Main Event,Upper Round 3,All Gamers vs Dragon Ranger Gaming,All Gamers,Dragon Ranger Gaming,2,1,All Gamers won
VCT 2026: China Kickoff,Main Event,Lower Round 1,JDG Esports vs FunPlus Phoenix,JDG Esports,FunPlus Phoenix,2,1,JDG Esports won
VCT 2026: China Kickoff,Main Event,Upper Round 3,Xi Lai Gaming vs EDward Gaming,Xi Lai Gaming,EDward Gaming,2,0,Xi Lai Gaming won
VCT 2026: China Kickoff,Main Event,Lower Round 2,Trace Esports vs Wolves Esports,Trace Esports,Wolves Esports,2,1,Trace Esports won
VCT 2026: China Kickoff,Main Event,Middle Round 3,Dragon Ranger Gaming vs TYLOO,Dragon Ranger Gaming,TYLOO,2,1,Dragon Ranger Gaming won
VCT 2026: China Kickoff,Main Event,Lower Round 2,Titan Esports Club vs JDG Esports,Titan Esports Club,JDG Esports,1,2,JDG Esports won
VCT 2026: China Kickoff,Main Event,Middle Round 3,EDward Gaming vs Bilibili Gaming,EDward Gaming,Bilibili Gaming,1,2,Bilibili Gaming won
VCT 2026: China Kickoff,Main Event,Lower Round 3,TYLOO vs Trace Esports,TYLOO,Trace Esports,2,0,TYLOO won
VCT 2026: China Kickoff,Main Event,Lower Round 3,EDward Gaming vs JDG Esports,EDward Gaming,JDG Esports,2,1,EDward Gaming won
VCT 2026: China Kickoff,Main Event,Middle Round 4,Dragon Ranger Gaming vs Bilibili Gaming,Dragon Ranger Gaming,Bilibili Gaming,0,2,Bilibili Gaming won
VCT 2026: China Kickoff,Main Event,Lower Round 4,TYLOO vs EDward Gaming,TYLOO,EDward Gaming,1,2,EDward Gaming won
VCT 2026: China Kickoff,Main Event,Lower Round 5,Dragon Ranger Gaming vs EDward Gaming,Dragon Ranger Gaming,EDward Gaming,1,2,EDward Gaming won
VCT 2026: China Kickoff,Main Event,Upper Final,All Gamers vs Xi Lai Gaming,All Gamers,Xi Lai Gaming,3,2,All Gamers won
VCT 2026: China Kickoff,Main Event,Middle Final,Xi Lai Gaming vs Bilibili Gaming,Xi Lai Gaming,Bilibili Gaming,3,2,Xi Lai Gaming won
VCT 2026: China Kickoff,Main Event,Lower Final,Bilibili Gaming vs EDward Gaming,Bilibili Gaming,EDward Gaming,1,3,EDward Gaming won
